id_str,from_user,text,created_at,time,geo_coordinates,user_lang,in_reply_to_user_id_str,in_reply_to_screen_name,from_user_id_str,in_reply_to_status_id_str,source,profile_image_url,user_followers_count,user_friends_count,user_location,status_url,entities_str
1376534405447966721,TiketPesawatPro,#ayooooo #nginap #mudik tiket pesawat lion air KLIK https://t.co/xaAlCMxF2U,Mon Mar 29 13:59:11 +0000 2021,29/03/2021 14:59:11,,,,,3242736720,,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>",http://pbs.twimg.com/profile_images/610774373511749632/W9bOsG4E_normal.png,2260,929,"Bali, Indonesia",http://twitter.com/TiketPesawatPro/statuses/1376534405447966721,"{""hashtags"":[{""text"":""ayooooo"",""indices"":[0,8]},{""text"":""nginap"",""indices"":[9,16]},{""text"":""mudik"",""indices"":[17,23]}],""symbols"":[],""user_mentions"":[],""urls"":[{""url"":""https://t.co/xaAlCMxF2U"",""expanded_url"":""http://bit.ly/promopesawat"",""display_url"":""bit.ly/promopesawat"",""indices"":[52,75]}]}"
1376505372412768262,faktualnewsco,"Mudik lebaran dilarang, tapi jangan sedih yuk simak ketentuan yang sudah dibuat. 

Biar tetap bisa mudik dengan protokol kesehatan yang tepat.

#mudik #mudiklebaran #mudik2021 #satgascovid19 https://t.co/EptLPuqq87",Mon Mar 29 12:03:49 +0000 2021,29/03/2021 13:03:49,,,,,799501442990141440,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/832430924604207104/dnEoM8hq_normal.jpg,586,9,"Jombang, Indonesia",http://twitter.com/faktualnewsco/statuses/1376505372412768262,"{""hashtags"":[{""text"":""mudik"",""indices"":[144,150]},{""text"":""mudiklebaran"",""indices"":[151,164]},{""text"":""mudik2021"",""indices"":[165,175]},{""text"":""satgascovid19"",""indices"":[176,190]}],""symbols"":[],""user_mentions"":[],""urls"":[],""media"":[{""id"":1376505309238206500,""id_str"":""1376505309238206473"",""indices"":[191,214],""media_url"":""http://pbs.twimg.com/media/ExpUSSSVIAk2vIX.jpg"",""media_url_https"":""https://pbs.twimg.com/media/ExpUSSSVIAk2vIX.jpg"",""url"":""https://t.co/EptLPuqq87"",""display_url"":""pic.twitter.com/EptLPuqq87"",""expanded_url"":""https://twitter.com/faktualnewsco/status/1376505372412768262/photo/1"",""type"":""photo"",""sizes"":{""thumb"":{""w"":150,""h"":150,""resize"":""crop""},""large"":{""w"":1228,""h"":2048,""resize"":""fit""},""medium"":{""w"":720,""h"":1200,""resize"":""fit""},""small"":{""w"":408,""h"":680,""resize"":""fit""}}}]}"
1376481261749866496,indoseputarinfo,"Tuh, makannya jangan mudik dulu yaa!
Ini juga untuk kebaikan bersama kok.

Masa mau kurva yang udah menurun nanti naik lagi karena pada mudik?
Mudiknya virtual dulu yaa!

Sumber: https://t.co/6V1tiMfZmu

#mudik #lebaran #puasa #breakingnews #beritaterkini #pandemi #covid19 https://t.co/Rxe2c6bm1h",Mon Mar 29 10:28:01 +0000 2021,29/03/2021 11:28:01,,,,,1348497859436441603,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1363734336009240576/daSe5oJr_normal.jpg,39,11,,http://twitter.com/indoseputarinfo/statuses/1376481261749866496,"{""hashtags"":[{""text"":""mudik"",""indices"":[204,210]},{""text"":""lebaran"",""indices"":[211,219]},{""text"":""puasa"",""indices"":[220,226]},{""text"":""breakingnews"",""indices"":[227,240]},{""text"":""beritaterkini"",""indices"":[241,255]},{""text"":""pandemi"",""indices"":[256,264]},{""text"":""covid19"",""indices"":[265,273]}],""symbols"":[],""user_mentions"":[],""urls"":[{""url"":""https://t.co/6V1tiMfZmu"",""expanded_url"":""http://kumparan.com"",""display_url"":""kumparan.com"",""indices"":[179,202]}],""media"":[{""id"":1376481256578277400,""id_str"":""1376481256578277376"",""indices"":[274,297],""media_url"":""http://pbs.twimg.com/media/Exo-aPJU4AAnFvv.jpg"",""media_url_https"":""https://pbs.twimg.com/media/Exo-aPJU4AAnFvv.jpg"",""url"":""https://t.co/Rxe2c6bm1h"",""display_url"":""pic.twitter.com/Rxe2c6bm1h"",""expanded_url"":""https://twitter.com/indoseputarinfo/status/1376481261749866496/photo/1"",""type"":""photo"",""sizes"":{""thumb"":{""w"":150,""h"":150,""resize"":""crop""},""small"":{""w"":680,""h"":680,""resize"":""fit""},""medium"":{""w"":1080,""h"":1080,""resize"":""fit""},""large"":{""w"":1080,""h"":1080,""resize"":""fit""}}}]}"
1376467968809267201,PoppyLeon,"RT @CoconutsJakarta: Cancel your plans: #Mudik is officially off in 2021.
https://t.co/2hizeYWfXv",Mon Mar 29 09:35:11 +0000 2021,29/03/2021 10:35:11,,,,,46871840,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1369986007089643520/UC7n1js__normal.jpg,41,176,Jakarta Capital Region,http://twitter.com/PoppyLeon/statuses/1376467968809267201,"{""hashtags"":[{""text"":""Mudik"",""indices"":[40,46]}],""symbols"":[],""user_mentions"":[{""screen_name"":""CoconutsJakarta"",""name"":""Coconuts Jakarta"",""id"":2778257102,""id_str"":""2778257102"",""indices"":[3,19]}],""urls"":[{""url"":""https://t.co/2hizeYWfXv"",""expanded_url"":""https://coconuts.co/jakarta/news/indonesia-set-to-ban-mudik-homecoming-exodus-in-2021-minister/"",""display_url"":""coconuts.co/jakarta/news/i…"",""indices"":[74,97]}]}"
1376454407760437253,sontarsono,"RT @detikcom: Pemerintah harusnya tak melarang mudik lebaran 2021. Alasannya, masyarakat saat ini sudah ada di titik jenuh karena tidak bisa mudik lebaran tahun 2020 lalu. Setuju/nggak nih detikers?

#mudik #mudiklebaran  https://t.co/evTAVkRM56",Mon Mar 29 08:41:18 +0000 2021,29/03/2021 09:41:18,,,,,124375988,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/430620669487763456/cDJuo6Dj_normal.jpeg,40,66,brebes,http://twitter.com/sontarsono/statuses/1376454407760437253,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""detikcom"",""name"":""detikcom"",""id"":69183155,""id_str"":""69183155"",""indices"":[3,12]}],""urls"":[]}"
1376452870694825994,adzkianjani,"Jangan lupa ikut gerakan Vaksinasi Covid-19
#Mudik https://t.co/DDA4CuhzSD",Mon Mar 29 08:35:12 +0000 2021,29/03/2021 09:35:12,,,,,1278564004680445954,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1360875472658173958/WL3oPvo5_normal.jpg,4,156,,http://twitter.com/adzkianjani/statuses/1376452870694825994,"{""hashtags"":[{""text"":""Mudik"",""indices"":[44,50]}],""symbols"":[],""user_mentions"":[],""urls"":[],""media"":[{""id"":1376452865246470100,""id_str"":""1376452865246470147"",""indices"":[51,74],""media_url"":""http://pbs.twimg.com/media/ExoklpMVoAMIi3_.jpg"",""media_url_https"":""https://pbs.twimg.com/media/ExoklpMVoAMIi3_.jpg"",""url"":""https://t.co/DDA4CuhzSD"",""display_url"":""pic.twitter.com/DDA4CuhzSD"",""expanded_url"":""https://twitter.com/adzkianjani/status/1376452870694825994/photo/1"",""type"":""photo"",""sizes"":{""thumb"":{""w"":150,""h"":150,""resize"":""crop""},""large"":{""w"":400,""h"":400,""resize"":""fit""},""small"":{""w"":400,""h"":400,""resize"":""fit""},""medium"":{""w"":400,""h"":400,""resize"":""fit""}}}]}"
1376450835941445633,ryolandafit,"RT @detikcom: Pemerintah telah memberlakukan larangan mudik Lebaran 2021. Namun, jika kondisi mendesak, pemerintah dapat mengizinkan masyarakat untuk melakukan perjalanan.

#mudik #mudiklebaran  https://t.co/xeHb269aOd",Mon Mar 29 08:27:07 +0000 2021,29/03/2021 09:27:07,,,,,2748535542,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1180746221691916288/DsQ7ZkZ5_normal.jpg,699,27,,http://twitter.com/ryolandafit/statuses/1376450835941445633,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""detikcom"",""name"":""detikcom"",""id"":69183155,""id_str"":""69183155"",""indices"":[3,12]}],""urls"":[]}"
1376448980121423874,detikcom,"Pemerintah telah memberlakukan larangan mudik Lebaran 2021. Namun, jika kondisi mendesak, pemerintah dapat mengizinkan masyarakat untuk melakukan perjalanan.

#mudik #mudiklebaran  https://t.co/xeHb269aOd",Mon Mar 29 08:19:44 +0000 2021,29/03/2021 09:19:44,,,,,69183155,,"<a href=""https://www.echobox.com"" rel=""nofollow"">Echobox</a>",http://pbs.twimg.com/profile_images/1264950036242161668/9SENXt8V_normal.jpg,16809298,30,"Jakarta, Indonesia",http://twitter.com/detikcom/statuses/1376448980121423874,"{""hashtags"":[{""text"":""mudik"",""indices"":[159,165]},{""text"":""mudiklebaran"",""indices"":[166,179]}],""symbols"":[],""user_mentions"":[],""urls"":[{""url"":""https://t.co/xeHb269aOd"",""expanded_url"":""https://health.detik.com/berita-detikhealth/d-5512119/ingin-pergi-ke-luar-kota-saat-libur-lebaran-2021-ini-syaratnya?utm_content=detikhealth&utm_term=echobox&utm_campaign=detikcomsocmed&utm_medium=oa&utm_source=Twitter#Echobox=1617003912"",""display_url"":""health.detik.com/berita-detikhe…"",""indices"":[181,204]}]}"
1376446502608904195,indoseputarinfo,"electronic Health Alert Card [e-HAC] di Indonesia.

Jadi makin aman deh kalo mau pergi-pergi, tapi tetep jaga jarak dan hanya pergi kalo diperlukan aja ya, Indonesians!

Sumber: https://t.co/aOrgDjTo9E

#mudik #liburan #genose #pcr #swabantigen #antigen #bandara",Mon Mar 29 08:09:54 +0000 2021,29/03/2021 09:09:54,,,1348497859436441603,indoseputarinfo,1348497859436441603,1376446481763233793,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1363734336009240576/daSe5oJr_normal.jpg,39,11,,http://twitter.com/indoseputarinfo/statuses/1376446502608904195,"{""hashtags"":[{""text"":""mudik"",""indices"":[203,209]},{""text"":""liburan"",""indices"":[210,218]},{""text"":""genose"",""indices"":[219,226]},{""text"":""pcr"",""indices"":[227,231]},{""text"":""swabantigen"",""indices"":[232,244]},{""text"":""antigen"",""indices"":[245,253]},{""text"":""bandara"",""indices"":[254,262]}],""symbols"":[],""user_mentions"":[],""urls"":[{""url"":""https://t.co/aOrgDjTo9E"",""expanded_url"":""http://ekonomi.bisnis.com"",""display_url"":""ekonomi.bisnis.com"",""indices"":[178,201]}]}"
1376442651495387136,solotrustcom,"Berlaku Mulai 1 April, Inilah Edaran Terbaru Satgas Covid-19 tentang Perjalanan Dalam Negeri. #mudik #mudik2021  https://t.co/kzoxTM3cut",Mon Mar 29 07:54:35 +0000 2021,29/03/2021 08:54:35,,,,,906083008486137857,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",http://pbs.twimg.com/profile_images/920929437104840704/hLTjIf45_normal.jpg,143,311,"Surakarta, Jawa Tengah",http://twitter.com/solotrustcom/statuses/1376442651495387136,"{""hashtags"":[{""text"":""mudik"",""indices"":[94,100]},{""text"":""mudik2021"",""indices"":[101,111]}],""symbols"":[],""user_mentions"":[],""urls"":[{""url"":""https://t.co/kzoxTM3cut"",""expanded_url"":""https://www.solotrust.com//read/35865/Berlaku-Mulai-1-April-Inilah-Edaran-Terbaru-Satgas-Covid-19-tentang-Perjalanan-Dalam-Negeri#.YGGHrYrOEAQ.twitter"",""display_url"":""solotrust.com//read/35865/Be…"",""indices"":[113,136]}]}"
